6,13,42,0,0,0,1,18,5,0.16666666666666666,0.6666666666666666,0
6,28,52,0,1,1,0,18,0,0.0,0.0,5
5,11,35,0,0,0,1,15,2,0.2,0.0,1
5,32,38,0,1,1,0,15,2,0.2,0.2,4
4,19,26,1,0,0,0,12,0,0.0,0.0,2
4,21,24,0,0,0,1,12,2,0.0,0.25,0
3,10,12,0,0,0,0,9,2,0.3333333333333333,0.3333333333333333,1
3,14,25,1,0,0,0,9,0,0.0,0.0,1
2,12,15,0,0,1,0,6,2,0.5,0.0,0
2,4,7,0,0,0,0,6,2,0.5,0.5,0
1,4,4,0,0,0,0,3,0,0.0,0.0,1
1,9,9,0,0,0,0,3,1,0.0,1.0,0
1,13,13,0,1,0,0,3,1,1.0,1.0,1
1,3,3,0,0,0,0,3,0,0.0,0.0,0
2,20,20,0,0,0,1,6,2,0.5,0.0,0
2,8,14,0,0,0,0,6,2,0.5,0.5,0
3,23,33,0,1,0,0,9,0,0.0,0.0,1
3,12,20,0,0,1,0,9,2,0.0,0.3333333333333333,0
4,16,21,0,1,0,0,12,2,0.25,0.25,1
4,14,28,1,0,0,0,12,0,0.0,0.0,2
5,17,47,0,1,0,1,15,3,0.4,0.0,0
5,25,66,2,2,1,0,15,3,0.4,0.4,5
6,27,58,1,2,0,0,18,0,0.0,0.0,3
6,23,50,1,0,0,1,18,6,0.0,0.8333333333333334,1
7,25,59,0,0,0,2,21,6,0.14285714285714285,0.7142857142857143,5
7,31,54,0,1,0,1,21,0,0.0,0.0,2
7,25,49,1,0,0,1,21,3,0.2857142857142857,0.0,2
7,25,64,1,0,1,0,21,5,0.2857142857142857,0.5714285714285714,2
6,13,36,0,0,0,0,18,0,0.0,0.0,0
6,29,47,1,0,0,0,18,2,0.0,0.16666666666666666,4
5,27,50,1,1,0,0,15,2,0.2,0.2,3
5,18,39,1,0,0,1,15,0,0.0,0.0,2
4,17,29,0,0,0,1,12,3,0.5,0.0,0
4,14,34,1,0,0,0,12,3,0.5,0.25,1
3,13,18,0,1,0,0,9,0,0.0,0.0,0
3,14,34,1,1,0,0,9,2,0.0,0.3333333333333333,2
2,13,19,0,1,0,0,6,2,0.5,0.5,0
2,9,11,0,0,0,0,6,0,0.0,0.0,1
